BASIN,SUB-BASIN,CADASTRAL,GWSI SITE ID,REG 55 No.,LATITUDE (NAD27),LONGITUDE (NAD27),SITE ELEVATION,WL DATE 2018,WL 2018,WL DATE 1998,WL 1998,WL CHANGE
AGUA FRIA BASIN,AGUA FRIA,A-09H02 23CCC,341118112075801,635573,N 34° 11' 13.5'',W 112° 8' 2.47'',3395,6/7/2018,472.9,10/13/1997,457.9,-15
AGUA FRIA BASIN,AGUA FRIA,A-11-02 09CCB,342042112094501,610557,N 34° 20' 42.6'',W 112° 9' 44.6'',3925,10/23/2017,25.6,10/13/1997,30.6,5
AGUA FRIA BASIN,AGUA FRIA,A-12-01 26BAB1,342353112134501,802822,N 34° 23' 52.8'',W 112° 13' 44.8'',4355,10/23/2017,20.6,10/13/1997,23,2.4
AGUA FRIA BASIN,AGUA FRIA,A-12-02 23BAA,342450112071801,614181,N 34° 24' 50.4'',W 112° 7' 17.1'',3700,10/23/2017,41,10/13/1997,39.7,-1.3
ARAVAIPA CANYON BASIN,ARAVAIPA CANYON,D-07-20 21BDB,324902110184901,613297,N 32° 48' 47.5'',W 110° 18' 29.7'',3515,11/15/2017,60.7,10/27/1997,52.5,-8.2
BIG SANDY BASIN,FORT ROCK,B-21-10 17CCD1,351153113214301,610506,N 35° 11' 57.5'',W 113° 21' 39.2'',5058,10/27/2017,124.7,10/13/1997,126.1,1.4
BIG SANDY BASIN,FORT ROCK,B-22-08 15CCB,351712113065401,,N 35° 17' 9.9'',W 113° 6' 53.9'',5560,10/27/2017,488.6,10/13/1997,487.8,-0.8
BIG SANDY BASIN,WIKIEUP,B-16-13 21DDD2,344220113364901,642249,N 34° 42' 23.3'',W 113° 37' 1'',2040,10/23/2017,99.8,10/13/1997,103.6,3.8
BIG SANDY BASIN,WIKIEUP,B-16-13 36CCC,344040113351001,,N 34° 40' 38.6'',W 113° 34' 46.4'',1880,10/23/2017,15.6,10/13/1997,11.3,-4.3
BIG SANDY BASIN,WIKIEUP,B-21-13 24BCD,351119000000000,614875,N 35° 11' 20.1'',W 113° 37' 8'',3620,10/26/2017,373.1,10/16/1997,373.2,0.1
BIG SANDY BASIN,WIKIEUP,B-23-13 32ACA,352010000000000,614897,N 35° 20' 20.2'',W 113° 41' 13.2'',3768,10/26/2017,270.1,10/16/1997,242.7,-27.4
BILL WILLIAMS BASIN,ALAMO RESERVOIR,B-09-09 04CBC,340852000000000,600587,N 34° 8' 52.1'',W 113° 12' 25.1'',2360,10/28/2017,635.2,11/11/1997,644.3,9.1
BILL WILLIAMS BASIN,ALAMO RESERVOIR,B-11-10 31CBA,341508000000000,809687,N 34° 15' 7.2'',W 113° 20' 40.1'',2160,10/27/2017,639.2,11/11/1997,640.8,1.6
BILL WILLIAMS BASIN,ALAMO RESERVOIR,B-11-11 31BBB1,341531113265801,614664,N 34° 15' 31'',W 113° 26' 57.9'',1350,10/27/2017,51.2,11/11/1997,52.5,1.3
BILL WILLIAMS BASIN,ALAMO RESERVOIR,B-13-13 07DDB2,342836113391301,644225,N 34° 28' 37.7'',W 113° 39' 12.5'',1770,10/24/2017,136.7,10/13/1997,140.3,3.6
BILL WILLIAMS BASIN,CLARA PEAK,B-11-16 29AAA,341624113562401,619426,N 34° 16' 27.3'',W 113° 56' 23.6'',695,10/26/2017,107.6,11/12/1997,100.7,-6.9
BILL WILLIAMS BASIN,SANTA MARIA,B-11-08 20ADB,341707113063901,614653,N 34° 17' 9.6'',W 113° 6' 54.9'',2610,10/23/2017,77.1,10/13/1997,76.2,-0.9
BILL WILLIAMS BASIN,SANTA MARIA,B-13-06 09DCD,342828112531801,625722,N 34° 28' 25.1'',W 112° 53' 14.2'',3500,10/24/2017,24.1,10/16/1997,17,-7.1
