Station Name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Baker Butte,124.4,246,303,143.2,265.1,169.3,196.7,235.1,144.4,132.7,174.4,272.2,341.8,206.2,237.9,65,144,224.5,138.1,58.7,242.1,53.7,170.2,137.8,317.1,58.3,106.3,268.2,166.5,215.7,158.3,151.5,164.5,106.6,146.4,177.2,220.7,62.2,224.9,210.8,39.2
Baker Butte Smt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,113.8,197.6,134.6,142.4,142.2,107,143.3,178.8,217.6,72.2,248.4,223.2,59.6
Baldy,110.3,153.7,186.7,157.6,209.5,133.2,210.7,181.9,94.8,80.1,166.9,180.9,195.1,127.1,191.3,71.7,169.8,156.4,136,82.4,175.5,50.9,121.3,138.4,193.2,82.1,112.1,187.3,159.3,184.5,89.5,133.7,128.7,96.8,113.1,137.7,181.4,62.9,179.7,135.4,53.1
Bar M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,168,98.7,142.7,168.2,226.2,55.7,218.6,192.5,56.3
Beaver Head,-,-,-,-,-,-,-,-,-,-,-,-,-,15.6,197.6,60.2,139.6,138.9,135.7,33.3,174.5,45.8,103.2,132.2,200.8,71.5,108.3,157.4,101.5,127.2,45.2,88,92.7,75.4,111.4,96.5,118.6,25.9,119.6,127.1,22.8
Beaver Spring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,202.4,163.3,132.5,139.1,110.5,146.6,161.3,186.5,60,205.4,125.7,68.8
Chalender,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155.9,128.7,152.8,72.3,86.9,58.3,84.1,102,122.4,52.9,152.7,125.2,38.4
Coronado Trail,88.6,113.4,164.1,112.2,180.7,141.4,187.8,146.3,81.7,96,134.5,173,187,102.2,133.3,72.7,124.1,150.5,104.1,32.3,174.3,46.2,105.9,106.3,160.2,64.9,87.9,145.8,97.2,136.5,68.9,103.3,90.4,61.6,76.4,91.3,112.1,34.6,126,110.4,18.3
Fort Valley,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,135.4,136,95.7,101.3,53.1,84.4,111,143.6,39.7,125.1,98.9,22.6
Fry,97.7,194.2,255.2,94.8,203.2,170.2,147,199.9,116,123.3,127.1,216.7,288.1,141.1,288.4,51.2,144.8,197.3,130.8,75.4,164.4,51.7,160.4,127.7,341,76.1,81.4,198.4,148.8,200.4,185.2,125.1,131,90.5,148.6,154.4,217.5,70.7,209.4,186.3,52.6
