BASIN,SUB-BASIN,CADASTRAL,GWSI SITE ID,REG 55 No.,LATITUDE (NAD27),LONGITUDE (NAD27),SITE ELEVATION,WL DATE 2018,WL 2018,WL DATE 2008,WL 2008,WL CHANGE
AGUA FRIA BASIN,AGUA FRIA,A-08-02 04DCD1,340338112092701,,N 34° 3' 37.7'',W 112° 9' 28.29'',1943,10/26/2017,24.7,4/15/2008,21.8,-2.9
AGUA FRIA BASIN,AGUA FRIA,A-09-02 34DDD,340421112075801,649365,N 34° 4' 20.4'',W 112° 7' 58.4'',2020,10/26/2017,41.1,1/8/2008,44.6,3.5
AGUA FRIA BASIN,AGUA FRIA,A-09H02 23CCC,341118112075801,635573,N 34° 11' 13.5'',W 112° 8' 2.47'',3395,6/7/2018,472.9,5/14/2008,450.2,-22.7
AGUA FRIA BASIN,AGUA FRIA,A-10-02 17DBA,341440112095501,642335,N 34° 14' 41.1'',W 112° 9' 55'',2925,10/23/2017,12.5,5/13/2008,4.4,-8.1
AGUA FRIA BASIN,AGUA FRIA,A-11-02 09CCB,342042112094501,610557,N 34° 20' 42.6'',W 112° 9' 44.6'',3925,10/23/2017,25.6,1/8/2008,40.1,14.5
AGUA FRIA BASIN,AGUA FRIA,A-11-02 14CAA,341959112071601,628102,N 34° 19' 59.5'',W 112° 7' 15.9'',3805,10/23/2017,69.8,1/8/2008,68.9,-0.9
AGUA FRIA BASIN,AGUA FRIA,A-11-02 25ACD,341817112060001,609345,N 34° 18' 16.95'',W 112° 5' 59.77'',3668,6/7/2018,138.9,4/14/2008,111.6,-27.3
AGUA FRIA BASIN,AGUA FRIA,A-12-01 26BAB1,342353112134501,802822,N 34° 23' 52.8'',W 112° 13' 44.8'',4355,10/23/2017,20.6,1/8/2008,21.3,0.7
AGUA FRIA BASIN,AGUA FRIA,A-12-01 27DBA2,342331112142501,618019,N 34° 23' 30.32'',W 112° 14' 24.85'',4484,9/28/2018,15.1,9/19/2008,15.6,0.5
AGUA FRIA BASIN,AGUA FRIA,A-12-02 23BAA,342450112071801,614181,N 34° 24' 50.4'',W 112° 7' 17.1'',3700,10/23/2017,41,1/8/2008,37.7,-3.3
ARAVAIPA CANYON BASIN,ARAVAIPA CANYON,D-07-20 21BDB,324902110184901,613297,N 32° 48' 47.5'',W 110° 18' 29.7'',3515,11/15/2017,60.7,11/12/2007,54.5,-6.2
BIG SANDY BASIN,FORT ROCK,B-21-10 17CCD1,351153113214301,610506,N 35° 11' 57.5'',W 113° 21' 39.2'',5058,10/27/2017,124.7,10/23/2007,123.7,-1
BIG SANDY BASIN,FORT ROCK,B-22-08 15CCB,351712113065401,,N 35° 17' 9.9'',W 113° 6' 53.9'',5560,10/27/2017,488.6,10/22/2007,486.6,-2
BIG SANDY BASIN,WIKIEUP,B-16-13 21DDD2,344220113364901,642249,N 34° 42' 23.3'',W 113° 37' 1'',2040,10/23/2017,99.8,10/22/2007,97.8,-2
BIG SANDY BASIN,WIKIEUP,B-16-13 36CCC,344040113351001,,N 34° 40' 38.6'',W 113° 34' 46.4'',1880,10/23/2017,15.6,10/22/2007,12.6,-3
BIG SANDY BASIN,WIKIEUP,B-16H13 33DAB,344613113370901,610996,N 34° 46' 10.3'',W 113° 37' 11.1'',2082,10/24/2017,37.6,1/31/2008,10,-27.6
BIG SANDY BASIN,WIKIEUP,B-17-13 31DAB2,344839113412801,642234,N 34° 48' 42'',W 113° 41' 26.6'',2715,10/24/2017,109.1,1/28/2008,122.4,13.3
BIG SANDY BASIN,WIKIEUP,B-19-13 19DAA1,350049113411401,637441,N 35° 0' 49'',W 113° 41' 14.8'',3065,10/24/2017,137.5,1/29/2008,113.1,-24.4
BIG SANDY BASIN,WIKIEUP,B-20-13 15BAA,350719113384201,608169,N 35° 7' 20.4'',W 113° 38' 42.3'',3300,10/27/2017,163.3,1/28/2008,159,-4.3
BIG SANDY BASIN,WIKIEUP,B-21-13 24BCD,351119113370801,614875,N 35° 11' 20.1'',W 113° 37' 8'',3620,10/26/2017,373.1,10/23/2007,372.7,-0.4
BIG SANDY BASIN,WIKIEUP,B-23-13 32ACA,352010113411501,614897,N 35° 20' 20.2'',W 113° 41' 13.2'',3768,10/26/2017,270.1,10/23/2007,243.2,-26.9
BILL WILLIAMS BASIN,ALAMO RESERVOIR,B-09-09 04CBC,340852113122501,600587,N 34° 8' 52.1'',W 113° 12' 25.1'',2360,10/28/2017,635.2,11/15/2007,639.9,4.7
BILL WILLIAMS BASIN,ALAMO RESERVOIR,B-11-10 31CBA,341508113203801,809687,N 34° 15' 7.2'',W 113° 20' 40.1'',2160,10/27/2017,639.2,11/15/2007,640.9,1.7
BILL WILLIAMS BASIN,ALAMO RESERVOIR,B-11-11 31BBB1,341531113265801,614664,N 34° 15' 31'',W 113° 26' 57.9'',1350,10/27/2017,51.2,11/15/2007,54.7,3.5
BILL WILLIAMS BASIN,ALAMO RESERVOIR,B-13-13 07DDB2,342836113391301,644225,N 34° 28' 37.7'',W 113° 39' 12.5'',1770,10/24/2017,136.7,10/24/2007,138.1,1.4
BILL WILLIAMS BASIN,CLARA PEAK,B-11-16 29AAA,341624113562401,619426,N 34° 16' 27.3'',W 113° 56' 23.6'',695,10/26/2017,107.6,11/13/2007,97.3,-10.3
BILL WILLIAMS BASIN,SANTA MARIA,B-11-08 20ADB,341707113063901,614653,N 34° 17' 9.6'',W 113° 6' 54.9'',2610,10/23/2017,77.1,10/22/2007,75.6,-1.5
BILL WILLIAMS BASIN,SANTA MARIA,B-13-06 09DCD,342828112531801,625722,N 34° 28' 25.1'',W 112° 53' 14.2'',3500,10/24/2017,24.1,1/10/2008,18,-6.1
BILL WILLIAMS BASIN,SANTA MARIA,B-13-09 17BCC,342801113134801,611613,N 34° 28' 1.2'',W 113° 13' 48.1'',2590,10/23/2017,51.5,10/26/2007,46.9,-4.6
BILL WILLIAMS BASIN,SKULL VALLEY,B-11-04 18CCC,341714112431801,,N 34° 17' 14.9'',W 112° 43' 18.1'',4455,10/25/2017,63.5,1/1/2008,30.9,-32.6
BILL WILLIAMS BASIN,SKULL VALLEY,B-11-05 24ADC,341653112433501,586357,N 34° 16' 52.58'',W 112° 43' 34.79'',4459,10/25/2017,67.1,10/18/2007,39.6,-27.5
BILL WILLIAMS BASIN,SKULL VALLEY,B-12-04 06ABB2,342458112423801,631575,N 34° 24' 57.6'',W 112° 42' 38.3'',3920,10/26/2017,75.8,1/9/2008,72.2,-3.6
BILL WILLIAMS BASIN,SKULL VALLEY,B-12-05 02ACD2,342442112444401,,N 34° 24' 40.6'',W 112° 44' 44.9'',3830,10/25/2017,39.7,1/10/2008,25.2,-14.5
BILL WILLIAMS BASIN,SKULL VALLEY,B-13-04 21DB UNSPZ1,342709112404501,613853,N 34° 27' 10.4'',W 112° 40' 44.5'',4260,10/25/2017,106.9,1/16/2008,104.2,-2.7
BILL WILLIAMS BASIN,SKULL VALLEY,B-13-04 21DB UNSPZ2,342709112404502,613853,N 34° 27' 10.3'',W 112° 40' 44.6'',4260,10/25/2017,113.4,1/16/2008,109.7,-3.7
BILL WILLIAMS BASIN,SKULL VALLEY,B-13-04 26BCC1UNSURV,342626112391401,613867,N 34° 26' 24.9'',W 112° 39' 14.4'',4350,10/25/2017,249.5,1/16/2008,240.8,-8.7
BILL WILLIAMS BASIN,SKULL VALLEY,B-13-04 27AB UNSPZ1,342639112394201,613860,N 34° 26' 39.5'',W 112° 39' 40.4'',4366,10/25/2017,199.4,1/16/2008,215.7,16.3
BILL WILLIAMS BASIN,SKULL VALLEY,B-13-04 27AB UNSPZ2,342639112394202,613860,N 34° 26' 39.3'',W 112° 39' 40.4'',4360,10/25/2017,249.7,1/16/2008,248.6,-1.1
BILL WILLIAMS BASIN,SKULL VALLEY,B-14-04 22BAD,344248112400801,614731,N 34° 32' 48.5'',W 112° 40' 7.6'',4540,10/25/2017,93.3,1/10/2008,89.4,-3.9
