Year,DOY,Temperature,RelativeHumidity,Precipitation
2021,1,8.6,45.4,0
2021,2,8.1,45.8,0
2021,3,8.2,48.7,0
2021,4,10.1,45.9,0
2021,5,11,44.8,0
2021,6,10.4,46.5,0
2021,7,10.8,39.4,0
2021,8,11,38.5,0
2021,9,10.8,34.6,0
2021,10,9.5,37.5,0
2021,11,9.9,39.8,0
2021,12,8.6,38.3,0
2021,13,8.8,37.3,0
2021,14,11.2,36.2,0
2021,15,13.5,36.5,0
2021,16,13.2,32.2,0
2021,17,12.4,36.3,0
2021,18,12.7,28.2,0
2021,19,16.8,38.6,0.51
2021,20,18.2,32.8,0
2021,21,16.8,52.8,0.25
2021,22,15.1,68.3,0
2021,23,13.3,69.1,0.25
2021,24,9.9,78.1,3.05
2021,25,7.4,79.6,8.64
2021,26,7.4,59.2,0.25
2021,27,7.8,61.1,0
2021,28,13.3,41.4,0
2021,29,12.5,60.3,4.83
2021,30,9.9,76.3,0.25
2021,31,12.3,55.3,0
2021,32,14.6,47.8,0
2021,33,18.7,46.1,0
2021,34,20.5,43.4,0
2021,35,16.6,34.1,0
2021,36,12,39.8,0
2021,37,12.1,42.7,0
2021,38,12.9,40,0
2021,39,13.6,37.8,0
2021,40,14,36.8,0
2021,41,15.5,36.1,0
2021,42,14.2,42.3,0
2021,43,16.2,37.9,0
2021,44,14,52.6,0
2021,45,13.5,33,0
2021,46,10.7,35.6,0
2021,47,14.5,27.9,0
2021,48,12.2,24.4,0
2021,49,11.8,21.8,0
2021,50,11.7,32,0
2021,51,14.6,28.3,0
2021,52,14.3,22,0
2021,53,13.6,30.1,0
2021,54,14.6,32.6,0
2021,55,15.6,28.5,0
2021,56,13.9,25.2,0
2021,57,12,29,0
2021,58,13.9,21.5,0
2021,59,12.2,11.3,0
2021,60,11.5,19.8,0
2021,61,15.2,25.2,0
2021,62,17.4,26.4,0
2021,63,14.9,51.9,0
2021,64,16.7,44,0
2021,65,19.9,27.9,0
2021,66,19.9,30.6,0
2021,67,22.2,22.6,0
2021,68,19.2,23.9,0
2021,69,13.9,31.2,0
2021,70,13.1,42.7,0
2021,71,10.3,69.2,4.83
2021,72,10.5,63.8,4.57
2021,73,12.1,55,0
2021,74,15.5,37.4,0
2021,75,10.9,39.9,0
2021,76,13.2,40.7,0
2021,77,16.4,42.2,0
2021,78,18,34.2,0
2021,79,20.4,26.9,0
2021,80,18.3,22.5,0
2021,81,15.7,19,0
2021,82,13.3,36.1,0
2021,83,14.7,41.5,0
2021,84,15.7,28,0
2021,85,14.8,42.7,0
2021,86,16.2,41.7,0
2021,87,19,30.5,0
2021,88,20.8,28,0
2021,89,21.1,18.6,0
2021,90,20.7,16.9,0
2021,91,24.5,16.8,0
2021,92,26,19.3,0
2021,93,25.2,26.9,0
2021,94,25.3,24.8,0
2021,95,25.3,20.9,0
2021,96,25.6,14.7,0
2021,97,23.4,16.5,0
2021,98,24.9,21.3,0
2021,99,25.6,17.8,0
2021,100,24.4,18.3,0
2021,101,24.8,19.7,0
2021,102,25.4,24.3,0
2021,103,24.2,26.1,0
2021,104,23.3,23.7,0
2021,105,21.9,19.5,0
2021,106,20.3,24,0
2021,107,21.3,23.4,0
2021,108,21.2,25.3,0
2021,109,22.8,25,0
2021,110,24.4,18.3,0
2021,111,24.5,14,0
2021,112,21.7,26.4,0
2021,113,22.9,29.1,0
2021,114,24.5,25,0
2021,115,25.4,19.1,0
2021,116,21.2,25.7,0
2021,117,18.6,33.8,0
2021,118,19,40.9,0
2021,119,23.7,38.5,0
2021,120,26.3,28.7,0
2021,121,28.4,20.1,0
2021,122,26.9,18.2,0
2021,123,25,24,0
2021,124,25.5,24,0
2021,125,26.6,25.3,0
2021,126,28.3,23.1,0
2021,127,28,18.5,0
2021,128,26.7,19.2,0
2021,129,26.9,22.1,0
2021,130,26.7,15,0
2021,131,25.5,20.3,0
2021,132,27.2,21.2,0
2021,133,29.1,17.7,0
2021,134,29,19.6,0
2021,135,28.8,14.6,0
2021,136,25.6,20.5,0
2021,137,24.8,26.5,0
2021,138,27.5,28.4,0
2021,139,29.7,24.3,0
2021,140,29.4,19.2,0
2021,141,24.6,15,0
2021,142,20.8,21.5,0
2021,143,21.5,20.9,0
2021,144,24.1,23.4,0
2021,145,26.1,22.5,0
2021,146,27.5,21.3,0
2021,147,27.6,21,0
2021,148,28.4,20.5,0
2021,149,29.6,16.8,0
2021,150,29.3,19.1,0
2021,151,30.1,22.8,0
2021,152,32,18,0
2021,153,32.5,17.9,0
2020,1,7.9,67.7,0
2020,2,9.3,66.5,0
2020,3,8.8,60.6,0
2020,4,9.8,61.1,0
2020,5,10.1,64.2,0
2020,6,10.6,58.2,0
2020,7,11.1,48.9,0
2020,8,10.6,48.6,0
2020,9,11.1,53.6,0
2020,10,10.7,48.2,0
2020,11,8.8,50.6,0
2020,12,8.3,56.7,0
2020,13,9.5,54.3,0
2020,14,10.3,54.7,0
2020,15,11.4,56.7,0
2020,16,12.8,60.1,0
2020,17,11.6,68.8,0
2020,18,10.9,61.9,0
2020,19,12.9,50.2,0
2020,20,16.1,41.8,0
2020,21,12.8,81.4,3.56
2020,22,12.1,83.9,0
2020,23,12.5,70.2,0
2020,24,13.1,61.6,0
2020,25,13,60.6,0
2020,26,13.7,61.9,0
2020,27,15.5,51.6,0
2020,28,12.4,43.5,0
2020,29,12.2,45.6,0
2020,30,13.1,37,0
2020,31,12.6,44.1,0
2020,32,13.8,42.9,0
2020,33,14.9,44.1,0
2020,34,12.1,30.8,0
2020,35,6.4,22.9,0
2020,36,5.9,25.8,0
2020,37,7.5,31.9,0
2020,38,10,40.6,0
