Macrotrends Data Download

Arizona Population 1900-2020
Original Source: U.S. Census Bureau - Population Estimates

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual Change
1900-12-01,124000
1901-12-01,131000,5.65
1902-12-01,138000,5.34
1903-12-01,144000,4.35
1904-12-01,151000,4.86
1905-12-01,158000,4.64
1906-12-01,167000,5.7
1907-12-01,176000,5.39
1908-12-01,186000,5.68
1909-12-01,196000,5.38
1910-12-01,206000,5.1
1911-12-01,212000,2.91
1912-12-01,217000,2.36
1913-12-01,236000,8.76
1914-12-01,253000,7.2
1915-12-01,263000,3.95
1916-12-01,282000,7.22
1917-12-01,311000,10.28
1918-12-01,320000,2.89
1919-12-01,329000,2.81
1920-12-01,340000,3.34
1921-12-01,351000,3.24
1922-12-01,360000,2.56
1923-12-01,371000,3.06
1924-12-01,382000,2.96
1925-12-01,393000,2.88
1926-12-01,403000,2.54
1927-12-01,414000,2.73
1928-12-01,422000,1.93
1929-12-01,430000,1.9
1930-12-01,434000,0.93
1931-12-01,429000,-1.15
1932-12-01,426000,-0.7
1933-12-01,426000,0
1934-12-01,428000,0.47
1935-12-01,434000,1.4
1936-12-01,443000,2.07
1937-12-01,453000,2.26
1938-12-01,466000,2.87
1939-12-01,484000,3.86
1940-12-01,499000,3.1
1941-12-01,490000,-1.8
1942-12-01,524000,6.94
1943-12-01,692000,32.06
1944-12-01,610000,-11.85
1945-12-01,594000,-2.62
1946-12-01,616000,3.7
1947-12-01,653000,6.01
1948-12-01,690000,5.67
1949-12-01,714000,3.48
1950-12-01,756000,5.88
1951-12-01,785000,3.84
1952-12-01,842000,7.26
1953-12-01,894000,6.18
1954-12-01,933000,4.36
1955-12-01,987000,5.79
1956-12-01,1053000,6.69
1957-12-01,1125000,6.84
1958-12-01,1193000,6.04
1959-12-01,1261000,5.7
1960-12-01,1321000,4.76
1961-12-01,1407000,6.51
1962-12-01,1471000,4.55
1963-12-01,1521000,3.4
1964-12-01,1556000,2.3
1965-12-01,1584000,1.8
1966-12-01,1614000,1.89
1967-12-01,1646000,1.98
1968-12-01,1682000,2.19
1969-12-01,1737000,3.27
1970-12-01,1775399,2.21
1971-12-01,1895814,6.78
1972-12-01,2008291,5.93
1973-12-01,2124438,5.78
1974-12-01,2223196,4.65
1975-12-01,2284847,2.77
1976-12-01,2346157,2.68
1977-12-01,2425197,3.37
1978-12-01,2515316,3.72
1979-12-01,2635571,4.78
1980-12-01,2737774,3.88
1981-12-01,2810107,2.64
1982-12-01,2889861,2.84
1983-12-01,2968925,2.74
1984-12-01,3067135,3.31
1985-12-01,3183538,3.8
1986-12-01,3308262,3.92
1987-12-01,3437103,3.89
1988-12-01,3535183,2.85
1989-12-01,3622185,2.46
1990-12-01,3679056,1.57
1991-12-01,3762394,2.27
1992-12-01,3867333,2.79
1993-12-01,3993390,3.26
1994-12-01,4147561,3.86
1995-12-01,4306908,3.84
1996-12-01,4432308,2.91
1997-12-01,4552207,2.71
1998-12-01,4667277,2.53
1999-12-01,4778332,2.38
2000-12-01,5160586,8
2001-12-01,5273477,2.19
2002-12-01,5396255,2.33
2003-12-01,5510364,2.11
2004-12-01,5652404,2.58
2005-12-01,5839077,3.3
2006-12-01,6029141,3.26
2007-12-01,6167681,2.3
2008-12-01,6280362,1.83
2009-12-01,6343154,1
2010-12-01,6407342,1.01
2011-12-01,6473416,1.03
2012-12-01,6556344,1.28
2013-12-01,6634690,1.19
2014-12-01,6732873,1.48
2015-12-01,6832810,1.48
2016-12-01,6944767,1.64
2017-12-01,7048088,1.49
2018-12-01,7164228,1.65
2019-12-01,7291843,1.78
2020-12-01,7421401,1.78
